21	21	21	19	21	15	9	9	2	-1
29	27	27	27	21	17	19	19	17	15
25	27	25	23	21	21	19	17	15	15
25	25	23	21	19	19	19	21	11	15
25	25	23	21	21	19	17	15	9	9
25	21	21	15	15	13	11	0	5	7
21	21	25	17	7	1	-1	-1	-1	-1
19	23	21	17	9	9	5	0	-1	-1
23	21	19	17	15	13	11	13	2	2
21	21	23	23	19	17	13	13	7	5
21	23	23	17	17	15	9	2	7	1
27	25	27	21	21	21	17	15	15	3
27	27	31	23	19	19	19	19	13	15
25	27	27	25	19	23	23	21	13	17
21	19	19	19	19	17	21	19	17	15
19	21	17	15	21	19	19	17	17	13
19	17	17	17	17	13	17	13	11	9
15	17	19	17	13	13	13	9	7	5
21	19	17	15	13	11	4	-1	15	5
21	19	21	15	7	1	-1	-1	-1	-1
19	21	19	19	15	13	7	-1	-1	-1
17	15	15	15	15	13	5	-1	-1	-1
25	23	23	21	19	17	-1	13	7	-1
25	25	27	25	23	21	19	17	15	13
27	27	27	25	23	23	23	21	15	15
19	15	19	21	19	17	19	19	15	13
11	13	15	13	17	17	15	15	11	7
5	7	5	4	2	-1	-1	7	-1	-1
1	2	-1	3	-1	1	-1	0	-1	-1
11	9	7	3	-1	-1	-1	1	-1	-1
15	15	9	7	3	-1	-1	-1	-1	-1
17	17	15	9	7	5	-1	-1	-1	-1
17	17	15	9	7	-1	-1	-1	-1	-1
13	11	13	11	7	-1	-1	-1	-1	-1
17	15	17	15	19	17	15	15	11	9
19	17	17	17	21	19	17	19	15	11
21	21	23	21	21	19	17	21	15	15
20	19	19	17	15	13	11	10	7	6
11	9	8	4	0	0	0	0	0	0
22	24	25	26	27	26	19	20	13	11
4	4	3	7	8	6	8	8	12	12
0	0	1	0	2	5	10	12	12	14

